부산광역시_자전거대여소_20230822.csv관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
26290-00003,당곡공원,역사공원,-,부산광역시 남구 대연동 산205-2,35.125023,129.091385,75465,-,-,-,-,-,1944-01-08,-,-,2018-08-14,3310000,부산광역시 남구
26290-00001,대연공원,근린공원,-,부산광역시 남구 대연동 산100-1일원,35.140147,129.094511,55227,-,-,-,-,-,1944-01-03,-,-,2018-08-14,3310000,부산광역시 남구
26290-00004,대일어린이공원,어린이공원,부산광역시 남구 유엔평화로13번길 63(대연동),부산광역시 남구 대연동 1727-1,35.134079,129.095471,422.1,-,-,-,-,-,1965-11-10,-,-,2018-08-14,3310000,부산광역시 남구
26290-00005,못골어린이공원,어린이공원,부산광역시 남구 진남로 46번길 37,부산광역시 남구 대연동 1475-2,35.139799,129.090081,499.8,-,-,-,-,-,1968-10-25,-,-,2018-08-14,3310000,부산광역시 남구
26290-00006,솔밭어린이공원,어린이공원,부산광역시 남구 동명로 114,부산광역시 남구 용호동 409-5,35.120074,129.109518,1500.2,-,-,-,-,-,1970-08-07,-,-,2018-08-14,3310000,부산광역시 남구
26290-00007,UN공원,묘지공원,-,부산광역시 남구 대연동 800,35.127677,129.098688,176486,-,-,-,-,-,1971-04-06,-,-,2018-08-14,3310000,부산광역시 남구
26290-00008,지게골어린이공원,어린이공원,부산광역시 남구 진남로188번가길 49-6,부산광역시 남구 문현동 96-3,35.141946,129.079359,1654,-,-,-,-,-,1971-10-22,-,-,2018-08-14,3310000,부산광역시 남구
26290-00009,문현어린이공원,어린이공원,-,부산광역시 남구 문현동 136-8,35.142741,129.073677,364,-,-,-,-,-,1971-10-23,-,-,2018-08-14,3310000,부산광역시 남구
26290-00010,개나리어린이공원,어린이공원,-,부산광역시 남구 문현동 189-22,35.138072,129.073376,370,-,-,-,-,-,1971-10-23,-,-,2018-08-14,3310000,부산광역시 남구
26290-00011,통일동산어린이공원,어린이공원,-,부산광역시 남구 문현동 189-16,35.139757,129.073124,479,-,-,-,-,-,1971-10-23,-,-,2018-08-14,3310000,부산광역시 남구
26290-00012,이기대공원,수변공원,-,부산광역시 남구 용호동 산25일원,35.122594,129.119861,1924935,-,-,-,-,-,1986-12-02,-,-,2018-08-14,3310000,부산광역시 남구
26290-00013,대연2공원,근린공원,-,부산광역시 남구 대연동 산180,35.130813,129.082289,51000,-,-,-,-,-,1995-05-16,-,-,2018-08-14,3310000,부산광역시 남구
26290-00014,용호공원,근린공원,부산광역시 남구 분포로111일원(용호동),부산광역시 남구 용호동 176-21일원,35.132325,129.114819,10052,-,-,-,-,-,1997-04-24,-,-,2018-08-14,3310000,부산광역시 남구
26290-00015,가로공원,근린공원,-,부산광역시 남구 용호동 176-9,35.130716,129.107511,13398,-,-,-,-,-,1997-05-06,-,-,2018-08-14,3310000,부산광역시 남구
26290-00018,어린이공원,어린이공원,-,부산광역시 남구 대연6동 산140-24,35.137571,129.079331,2309.1,-,-,-,-,-,2005-06-15,-,-,2018-08-14,3310000,부산광역시 남구
26290-00019,어린이공원,어린이공원,-,부산광역시 남구 문현동 21-10,35.147056,129.073571,2157,-,-,-,-,-,2006-01-11,-,-,2018-08-14,3310000,부산광역시 남구
26290-00020,어린이공원,어린이공원,부산광역시 남구 고동골로69번가길 50,부산광역시 남구 문현동 558-20,35.145593,129.071143,1608,-,-,-,-,-,2006-01-11,-,-,2018-08-14,3310000,부산광역시 남구
26290-00021,어린이공원,어린이공원,-,부산광역시 남구 대연동 산166-6,35.132801,129.083628,2017,-,-,-,-,-,2006-09-13,-,-,2018-08-14,3310000,부산광역시 남구
26290-00022,우암1어린이공원,어린이공원,부산광역시 남구 유엔로27번길 33-17,부산광역시 남구 우암동 산33-19,35.128261,129.078947,3953,-,-,-,-,-,2006-09-27,-,-,2018-08-14,3310000,부산광역시 남구
26290-00023,우암2소공원,소공원,부산광역시 남구 우암양달로89번길 25,부산광역시 남구 우암동 129-56,35.126993,129.075044,660,-,-,-,-,-,2006-09-27,-,-,2018-08-14,3310000,부산광역시 남구
26290-00024,소공원,소공원,-,부산광역시 남구 대연동 1170-116,35.121729,129.090301,283,-,-,-,-,-,2006-11-15,-,-,2018-08-14,3310000,부산광역시 남구
26290-00025,어린이공원,어린이공원,-,부산광역시 남구 대연동 970-2,35.125903,129.091277,1625,-,-,-,-,-,2006-11-15,-,-,2018-08-14,3310000,부산광역시 남구
26290-00026,어린이공원,어린이공원,-,부산광역시 남구 대연동 1170-80,35.121966,129.090047,1864.6,-,-,-,-,-,2006-11-15,-,-,2018-08-14,3310000,부산광역시 남구
26290-00016,평화공원,근린공원,-,부산광역시 남구 대연동 706-5일원,35.125799,129.100337,32015,-,-,-,-,-,2004-09-02,-,-,2018-08-14,3310000,부산광역시 남구
26290-00017,어린이공원,어린이공원,부산광역시 남구 용주로14번길 5,부산광역시 남구 용호동 543-6,35.112869,129.111521,2118.8,-,-,-,-,-,2004-12-30,-,-,2018-08-14,3310000,부산광역시 남구
26290-00027,어린이공원,어린이공원,부산광역시 남구 홍곡로57번길 22-1,부산광역시 남구 감만동 176-24,35.117698,129.083951,4247,-,-,-,-,-,2007-01-10,-,-,2018-08-14,3310000,부산광역시 남구
26290-00028,어린이공원,어린이공원,부산광역시 남구 우암로2번길 45-3,부산광역시 남구 감만동 225-7,35.112435,129.083749,8562,-,-,-,-,-,2007-01-10,-,-,2018-08-14,3310000,부산광역시 남구
26290-00029,소공원,소공원,부산광역시 남구 장고개로40번길 9-8,부산광역시 남구 우암동 209-34,35.129158,129.071761,1269,-,-,-,-,-,2007-11-15,-,-,2018-08-14,3310000,부산광역시 남구
26290-00030,오륙도해맞이소공원,소공원,-,부산광역시 남구 용호동 950,35.102539,129.122349,10659,-,-,-,-,-,2008-03-12,-,-,2018-08-14,3310000,부산광역시 남구
26290-00031,소공원,소공원,부산광역시 남구 이기대공원로26번길 45-4 일원,부산광역시 남구 용호3동 465 일원,35.122391,129.114843,437,-,-,-,-,-,2008-05-21,-,-,2018-08-14,3310000,부산광역시 남구
26290-00032,소공원,소공원,부산광역시 남구 용호로123번가길 27 일원,부산광역시 남구 용호3동 473 일원,35.121847,129.115151,2434,-,-,-,-,-,2008-05-21,-,-,2018-08-14,3310000,부산광역시 남구
